ID,HRDTime,HRDTime_ci_hi,HRDTime_ci_lo,HRDTime_ci_IQR_hi,HRDTime_ci_IQR_lo,WGDTime,WGDTime_ci_hi,WGDTime_ci_lo,WGDTime_ci_IQR_hi,WGDTime_ci_IQR_lo,WGDTime_CpG,pi2SBS1,pi2SBS1_ci,pi2SBS3,pi2SBS3_ci,pi1SBS1,pi1SBS1_ci,pi1SBS3,pi1SBS3_ci,c,c21,Nt_SBS1,Nt_SBS3,N_mut(C>TpG),N_mut_all
fc8130e3-01ba-c740-e040-11ac0c483291_p0_5500,0.08343882212580439,0.19619170356893578,0.1820376005835383,0.07498431012941165,0.0682602826806349,0.8255330898634808,0.04054923586630099,0.0380303169154842,0.00963678293378889,0.011791729227187409,0.8010560737201211,"[0.7147560744672634, 0.3744654785792054, 0.6441854809237509]","[0.04927264494879052, 0.06462540435383168, 0.056038275847580366]","[0.6252629542709999, 0.3721306154238633, 0.6417667379793427]","[0.05834229519091255, 0.06604835875636753, 0.05262798298036747]","[0.26490615818775604, 0.5764983324102146, 0.3132812555255337]","[0.044676621765924726, 0.05937497751439669, 0.04875849812452407]","[0.3392660437888973, 0.5774229066881544, 0.31759683004387895]","[0.05193197747135275, 0.059841715432892906, 0.04576852519869801]","[0.05235078156173779, 0, 0.051699966749370906]",0.051863150027142604,"[38.07933904695323, 46.638022258736655, 93.38380879113443]","[571.6015694611892, 775.2254104970681, 1792.2124780230663]","[0, 0, 0]","[1276, 1592, 3813]"
fc8130e3-01ba-c740-e040-11ac0c483291_p0_6000,0.11846444817565721,0.1727802990639975,0.20476728636463337,0.053429434027325806,0.058556749882683445,0.7654706967030164,0.04338144171322966,0.049085815328683835,0.0171170925876567,0.015514936799208123,0.7488590750868535,"[0.674313891777712, 0.2896255445781024, 0.6040232862952531]","[0.05773094510238175, 0.057812901740618775, 0.06427201786208525]","[0.5564370371118756, 0.28390792033362894, 0.5828012643312588]","[0.07363116056482727, 0.06095621470544896, 0.06735122672779612]","[0.3075801870469572, 0.6501254318669788, 0.3503675037022511]","[0.05367969339742748, 0.05166701724319106, 0.05602730364079431]","[0.4004061513688615, 0.6563381212881554, 0.37284088386377584]","[0.06522935903417287, 0.05509306708214434, 0.05883170065039903]","[0.052082270933152416, 0, 0.050444768325085085]",0.05085430610607301,"[36.796224626929344, 47.099540511151105, 91.30564576742974]","[547.275517719481, 808.2378047146819, 1714.8680749620298]","[0, 0, 0]","[1263, 1581, 3787]"
fc8130e3-01ba-c740-e040-11ac0c483291_p0_6500,0.13751066660556324,0.1498599500663926,0.16524625832946122,0.06770175123890465,0.06029948325574434,0.7122778472003481,0.03308635790662873,0.04702131142812216,0.014059315580741916,0.011704508780046918,0.6950242439984363,"[0.6450219714273593, 0.2112230012742736, 0.5860612530488872]","[0.054613504804400026, 0.031226283575728306, 0.06349646975432105]","[0.5154731455607106, 0.2498407987295025, 0.5480546769921049]","[0.07407195206970396, 0.04171923419929027, 0.06876004845619807]","[0.3434074924657468, 0.725213132865979, 0.36868534387212143]","[0.052096396803935435, 0.028346735063973727, 0.05583775149575676]","[0.44209964474554814, 0.6895075335432154, 0.40672668219295594]","[0.06613686021092965, 0.037518553103321806, 0.06049062708445238]","[0.050987020925338404, 0, 0.04685951075308054]",0.047881694463539765,"[35.71454327646316, 51.30337700874722, 89.30257992371664]","[549.1403872378328, 782.7341243600574, 1743.0495305303762]","[0, 0, 0]","[1239, 1553, 3764]"
fc8130e3-01ba-c740-e040-11ac0c483291_p0_7000,0.09028203592081904,0.15248695818777408,0.1539391252083559,0.05736123789145248,0.049553889016059165,0.646943858729891,0.0362392646687425,0.03573219798487537,0.012013166058100877,0.011750645585732022,0.6368751527939761,"[0.5265250459257981, 0.15877139066959745, 0.5556009804495217]","[0.05114256715388735, 0.02721346030882521, 0.055032142548965574]","[0.44782539669794325, 0.21328191274387798, 0.5127746416122203]","[0.06404450984444868, 0.051016872458678766, 0.05964711761293018]","[0.45913157776816577, 0.7727139521155726, 0.40553000789998395]","[0.04902297796229155, 0.024300037126730123, 0.049418721621156625]","[0.5102061830735497, 0.7229004178013844, 0.4425241230043119]","[0.05807784358585874, 0.04577386801365402, 0.052857289469620844]","[0.05900599956898851, 0, 0.04632051525174781]",0.049441241836361095,"[35.195646357403646, 49.33746202323746, 86.99554146425722]","[541.1623893440119, 762.0417729141409, 1733.3919734735684]","[0, 0, 0]","[1217, 1529, 3730]"
fc8130e3-01ba-c740-e040-11ac0c483291_p0_7500,0.11151550481775589,0.15455927559334398,0.16205492541018626,0.05047207966018817,0.04815255801783773,0.6003488591629382,0.04473138931071152,0.05884550677939249,0.014186939307064605,0.013374545542843563,0.5823466250493847,"[0.44222568421814756, 0.12991127283430015, 0.5296402661573173]","[0.07938185187451663, 0.02558949892125765, 0.07987612327085075]","[0.35480685185688393, 0.17256091693140102, 0.4715507110367141]","[0.05498667504732088, 0.03422506396288447, 0.05473269095142985]","[0.5409634249864304, 0.8013663442135054, 0.4326169008414489]","[0.07628745223320826, 0.02276695012746366, 0.07189914914232426]","[0.6029559872356295, 0.7594446088102059, 0.4836991687280905]","[0.05041680130369408, 0.03099437098271207, 0.048912631873081924]","[0.05946688552859334, 0, 0.04525987947405798]",0.04872174992897946,"[34.13526377553531, 47.2866248292692, 84.88509371220049]","[518.4232371203254, 744.2551052558983, 1686.7039305528115]","[0, 0, 0]","[1194, 1505, 3706]"
fc8130e3-01ba-c740-e040-11ac0c483291_p0_8000,0.037455406896891114,0.11698383547209129,0.13601944060335497,0.049263327780414104,0.04449012778327102,0.5142165000878132,0.04234968868034428,0.058188160318093984,0.01586271429989572,0.018006734298173677,0.512679339026051,"[0.26600196921648495, 0.10922746582097284, 0.4568454077584525]","[0.04703556642166874, 0.025378956681019783, 0.06282294431610602]","[0.229229990679436, 0.1421900479076278, 0.42794499990068025]","[0.036009093257289695, 0.03348674317465925, 0.049943279666121776]","[0.7108661156249463, 0.8270772942300956, 0.4997068262346451]","[0.04495828422473647, 0.02208023049761998, 0.05676830566424135]","[0.7302788729200772, 0.7851977949056596, 0.525403239186278]","[0.03361415954652058, 0.030129236151205996, 0.04477420051774336]","[0.06687360040687827, 0, 0.04823911417901927]",0.052704627273837214,"[35.140756356319464, 43.95421294048201, 86.67393330357321]","[514.9992208993621, 713.9465234035586, 1717.752549579873]","[0, 0, 0]","[1162, 1480, 3687]"
fc813235-5ed8-7695-e040-11ac0d485e3e_p0_0500,1.135448474785921,0.007816229346041759,0.010983443665630421,0.0038008950572523403,0.003241870629779875,1.2054545454545451,4.440892098500626e-16,-4.440892098500626e-16,4.440892098500626e-16,-4.440892098500626e-16,1.2054545454545451,"[0.9977619477263129, 0.9887565444597732, 0.9994878346873765]","[1.0750406581161442e-05, 9.05960943309303e-05, 3.748294853167522e-06]","[0.9973049577863782, 0.9932196793145558, 0.9994353771795366]","[1.4253852421708402e-05, 3.026673143718961e-05, 4.67063149939273e-06]","[1.3998273183171067e-14, 1.4364406878561061e-05, 1.3009232933315428e-18]","[1.7206901674028553e-15, 4.1278425859398384e-06, 1.3501532599994788e-19]","[1.6827895900102992e-13, 0.00012449840532049184, 2.143343279983273e-17]","[1.2492596275843345e-14, 7.683167904796513e-06, 7.381633351541323e-19]","[0.007883770006524344, 0, 0.0049326383743967936]",0.006231472923517569,"[53.21075183949898, 78.54927170696521, 57.364273757652356]","[565.1013414908626, 1168.7673593025036, 709.7821284339603]","[0, 0, 0]","[1389, 2881, 1767]"
fc813235-5ed8-7695-e040-11ac0d485e3e_p0_1000,-0.7540358401893953,1.7688573282845548,4.004744401253303,1.2558570889290417,0.9206768912786117,1.2028837101410905,0.0011397948015712256,0.0018077061919958837,0.0011043200997635783,0.0003840301716535599,1.2004690115190668,"[0.9885724787966517, 0.9707891920534688, 0.989950084297133]","[0.003628625520962936, 0.003238920049611349, 0.0062695773661509135]","[0.9867233063300581, 0.9618469161610514, 0.9911031298781972]","[0.0028259303958768633, 0.009966343102249198, 0.0027203837600418]","[0.003245841292567469, 0.005638048667688305, 0.0066349255872539745]","[0.0036149385418450964, 0.003239109801872167, 0.00629956673898475]","[0.0029293048777989748, 0.02031260274558991, 0.005613017253231054]","[0.002523746432783643, 0.009571794894486181, 0.0027215678954311162]","[0.13705214274650304, 0, 0.10730767354065945]",0.12039863289646323,"[53.222144069712705, 77.99645963971278, 57.122067788807165]","[563.3355724949267, 1167.874600840915, 706.6583922990468]","[0, 0, 0]","[1389, 2881, 1767]"
fc813235-5ed8-7695-e040-11ac0d485e3e_p0_1500,-0.11188706598613057,0.32012974803470307,0.38819892154609575,0.10644480723549472,0.09344799255758088,1.088157843347524,0.03285067883062487,0.023766285541770404,0.005221695909603641,0.00951056177079801,1.0699620137196395,"[0.7644926755082097, 0.7741815410041208, 0.7994611499006712]","[0.03483809291569101, 0.06839244269338757, 0.029614245815066664]","[0.7511111890201881, 0.6391690842386631, 0.7908398639447429]","[0.04565942886002694, 0.05411780868393684, 0.04002623917487075]","[0.1819029585796937, 0.16220914371078451, 0.16246655953377467]","[0.028635054690075046, 0.05912399202395913, 0.025962410871793656]","[0.19198411317754974, 0.2886953587028029, 0.1752572940306003]","[0.03793171486416211, 0.0484038997257001, 0.03637049983890836]","[0.09526731790230357, 0, 0.08148133676271833]",0.08755190561323888,"[54.24664700027689, 70.6177732461264, 58.99694541963757]","[546.8686350216785, 1193.5445408920941, 680.7377219604978]","[0, 0, 0]","[1384, 2865, 1759]"
fc813235-5ed8-7695-e040-11ac0d485e3e_p0_2000,0.16038505204858347,0.14873977150973236,0.1596086985456798,0.04745106507069169,0.04926730660718155,0.7786716601833412,0.04116763095411735,0.035413385552948706,0.00961644581783061,0.015928323699444746,0.7142158162719499,"[0.44176473767064034, 0.42258129823698115, 0.5291291188526369]","[0.035960058687941415, 0.05872288383289237, 0.03596605578810455]","[0.37519204299586156, 0.31220939591557145, 0.42003012067760026]","[0.05511537761244398, 0.04631406279451397, 0.05681545712832267]","[0.5015969120580813, 0.508521893814227, 0.43084982456127774]","[0.032215756004981666, 0.054106262588489606, 0.03361918952521678]","[0.5639561029722733, 0.6185711877264936, 0.5411238513649699]","[0.049574264177652094, 0.04264980124441892, 0.05362681671896133]","[0.08465685615341226, 0, 0.06651325882885817]",0.07449390811220695,"[57.5913030172977, 65.97782904735526, 63.209483937016806]","[610.418067557049, 1058.6543367789582, 762.9308260129677]","[0, 0, 0]","[1386, 2829, 1765]"
fc813235-5ed8-7695-e040-11ac0d485e3e_p0_2500,0.0962327149256851,0.07537637997507,0.08076732983441026,0.026827279966348913,0.03504553390318765,0.42335042995434385,0.03682122692952994,0.042959745114044545,0.013262185081368505,0.011488217929112199,0.3721442253291498,"[0.234134076749919, 0.17414074054763418, 0.227250803805857]","[0.026577233929391153, 0.03111268116210042, 0.02632235163547722]","[0.1771878446094903, 0.1037639026397478, 0.18040276997045057]","[0.03718687473210584, 0.027387592002362453, 0.03439848289125945]","[0.70125810685319, 0.747909079359973, 0.7230221359376854]","[0.023790423422166695, 0.027681503336399405, 0.02427433843273069]","[0.7523668964504698, 0.8149216720482133, 0.7713250935529036]","[0.03324758963734814, 0.024650761832732238, 0.032277914113788775]","[0.09230250789494644, 0, 0.08017152296171162]",0.08550576950913025,"[59.297438081939674, 66.94243571285237, 64.35148892155574]","[603.700221370971, 1077.6176887185188, 758.4880334916083]","[0, 0, 0]","[1386, 2874, 1766]"
fc813235-5ed8-7695-e040-11ac0d485e3e_p0_3000,-0.012631189567882456,0.06356995802670534,0.08267104083097923,0.02162923666151528,0.02007225478032764,0.17981302907440075,0.024153958402911263,0.051657596128623584,0.012697221553222865,0.007901996532198557,0.15497486562194007,"[0.07716124252255063, 0.06780478248902436, 0.08628672670813979]","[0.015224023912419928, 0.024027607244081428, 0.01933422347769922]","[0.06374843778205438, 0.05426848092759345, 0.0843006513589724]","[0.017123109342538943, 0.017060680084000877, 0.02266417031793289]","[0.8384917648437639, 0.8454024402420706, 0.8569702540254078]","[0.013941924848648535, 0.021092381182613473, 0.01783929735269285]","[0.8549071687173034, 0.8466361979596941, 0.8571998888911316]","[0.015134301078644663, 0.014826335067324281, 0.02082643733871392]","[0.09696337751778307, 0, 0.08432300678591345]",0.0898690046348629,"[60.0356010228815, 63.59293462590144, 64.85527674337781]","[609.772944199109, 1057.8207261878563, 771.9675110505846]","[0, 0, 0]","[1379, 2864, 1764]"
fc813235-5ed8-7695-e040-11ac0d485e3e_p0_3500,0.03496220024489176,0.04379520464039835,0.03992020299299537,0.011480480487928872,0.013945417984423385,0.09526796884171086,0.01114946734501232,0.015846453424853676,0.004322932833630985,0.0038794295050152416,0.0673404070640553,"[0.03537705680645076, 0.03472223085464813, 0.046117413973270294]","[0.006750937268900418, 0.008873253004258022, 0.009707979028873666]","[0.012406548329821996, 0.017239916912861898, 0.034199141844572664]","[0.0058747143748937025, 0.009942254645483345, 0.017833157940047646]","[0.8616654892013186, 0.8617529304320308, 0.8920438125419016]","[0.005935692020474503, 0.007364195245359972, 0.008700556581054342]","[0.8862789340054562, 0.8624906616908237, 0.8953377611303678]","[0.0050823856818626445, 0.008564251311886428, 0.016082945788153724]","[0.09585444909009153, 0, 0.08370489142310072]",0.08901078520617305,"[58.026248331556545, 64.58750306742827, 62.89033410985752]","[593.0461505325968, 1011.9606794622355, 754.3430006224473]","[0, 0, 0]","[1356, 2825, 1749]"
fc813235-5ed8-7695-e040-11ac0d485e3e_p0_4000,-0.0015102099097444833,0.03630420615322084,0.03191931424053902,0.009497946512064084,0.008878733028350837,0.03105642062782239,0.015942474126735984,0.016372799035569152,0.009018710400686799,0.0155625584614777,0.026545237022491733,"[0.006521159996487303, 0.014446501400888254, 0.00880402007400052]","[0.006614309315242494, 0.0093533293010671, 0.0015787150215521347]","[0.0016865172153445454, 0.008890992883090799, 0.01852530838031497]","[0.0008856036790135466, 0.0070011991831353745, 0.01168098782370074]","[0.8700503669553832, 0.8679955147375942, 0.9169833364505113]","[0.005669233270480856, 0.007903310723977597, 0.0015877770298051708]","[0.880465074036566, 0.8550440484583924, 0.8984120053223182]","[0.0009484317587480362, 0.006158453165364286, 0.010619823561975827]","[0.09588445740557582, 0, 0.08515228844603588]",0.08972636377373366,"[55.567050442744524, 62.9363068805167, 63.626988609150864]","[575.4918964361791, 998.3156827719606, 766.332196459409]","[0, 0, 0]","[1285, 2726, 1730]"
fc9f6916-da31-ab17-e040-11ac0c4808f3_p0_0800,1.1443378589712492,0.09942051359631265,0.015840034158308258,0.0014358099344105035,0.008861239569420531,1.2476190476190476,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,1.2476190476190474,"[0.9999897157391738, 0.9996207392052284, 0.9988639287252421]","[1.4212509549249575e-06, 2.3967899011156923e-05, 9.49416291106675e-05]","[0.9998568938995744, 0.9990779015145677, 0.997545643708624]","[5.17339150137297e-05, 3.366294826945282e-05, 0.00033646887236049583]","[1.3313666847077807e-10, 1.0102478355226949e-09, 1.2720618986095185e-14]","[1.928723032329634e-11, 2.010560858998287e-10, 2.3988651370087297e-15]","[4.785377340931567e-06, 9.969009260094201e-09, 3.4053244191377054e-05]","[5.040809769468486e-05, 5.061336465839196e-10, 0.0003102823038310365]","[0.004360603365818394, 0, 0.006206654262213693]",0.004951714961614601,"[56.388135073629485, 79.14611614700816, 22.813577564404124]","[883.3030142271491, 1258.8865171784312, 416.2238223958768]","[0, 0, 0]","[1605, 2246, 756]"
fc9f6916-da31-ab17-e040-11ac0c4808f3_p0_1300,-2.4836205903385773,2.829795834943252,0.5399618865941775,-0.34034182966185966,0.4643381632805639,1.2457038418353668,2.4300276226352224e-05,2.9989355710968724e-05,1.254096468383814e-05,9.294252062419517e-06,1.2458785826276937,"[0.9789581590520203, 0.9776335708481053, 0.9865092210799423]","[0.00018669987934938348, 0.00021362428108190334, 0.0004974697287289387]","[0.9838468171614001, 0.9688526841091083, 0.9715830917152891]","[0.0017104663891851501, 0.005449505396111387, 0.004599145120326609]","[0.00413859532213135, 0.0030171925927636113, 0.0013045736187125342]","[0.0001294354895974392, 4.584598019496109e-05, 0.0001384256116415168]","[0.0011909933091721254, 0.007674281989436779, 0.009871475910967294]","[0.0016209512120964242, 0.005089637878257311, 0.003970100324744395]","[0.2772031037784552, 0, 0.007611799942838129]",0.1912098008918703,"[56.90164822559326, 79.7060900498288, 22.939244745381398]","[888.4561191141183, 1265.1673170012573, 413.02799768064557]","[0, 0, 0]","[1597, 2238, 748]"
