ID,HRDTime,HRDTime_ci_hi,HRDTime_ci_lo,HRDTime_ci_IQR_hi,HRDTime_ci_IQR_lo,WGDTime,WGDTime_ci_hi,WGDTime_ci_lo,WGDTime_ci_IQR_hi,WGDTime_ci_IQR_lo,WGDTime_CpG,pi2SBS1,pi2SBS1_ci,pi2SBS3,pi2SBS3_ci,pi1SBS1,pi1SBS1_ci,pi1SBS3,pi1SBS3_ci,c,c21,Nt_SBS1,Nt_SBS3,N_mut(C>TpG),N_mut_all
fc8130df-90ba-5d94-e040-11ac0d485e0c,0.4636449743734983,0.11101420319127309,0.12190514725893686,0.03933497226205174,0.03706396074138191,0.839463824890843,0.03642380325924821,0.029217110297744653,0.01169176814343853,0.012268772288090868,0.7532531250384605,"[0.5898627750658159, 0.43655300095929606, 0.5620411129308697]","[0.05456276911221014, 0.05145930393750789, 0.05435911350912237]","[0.38033150044641884, 0.28443658982730513, 0.37895171922379217]","[0.06255401055984638, 0.0588525834200352, 0.06055274113292253]","[0.33213791936575204, 0.48535670215090726, 0.3862452394016589]","[0.04370856545214566, 0.04327127190138702, 0.04634737283890972]","[0.4977850477228052, 0.6120228192523401, 0.5313543816436804]","[0.04981023987721561, 0.048992767018565364, 0.051667913315692954]","[0.05349228896397154, 0, 0.06270106950923406]",0.05702018110067177,"[86.5093034993809, 79.43744344327881, 58.48306632254872]","[1088.2165768214168, 941.1803705698153, 683.9327365349434]","[116, 113, 80]","[2256, 2200, 1401]"
fc813235-5ed8-7695-e040-11ac0d485e3e,0.1549991692312366,0.16486163230834763,0.16101067763331814,0.05975431797420777,0.0676377582319445,0.7805346490382264,0.04188858567181086,0.042132138662471785,0.009257496948359756,0.015334260942383438,0.7256883951749167,"[0.46891342598475033, 0.42760529550774623, 0.5210037602014695]","[0.036640229687871395, 0.06400576238686054, 0.03535894142625598]","[0.38598008794672545, 0.34602678552418004, 0.41463784244784785]","[0.05292102668440685, 0.054437504339173076, 0.05253596222605486]","[0.4747474244623939, 0.5047691954020452, 0.43984655630289643]","[0.03252538741887995, 0.05920393693407644, 0.03329061625340954]","[0.5485776505182125, 0.5846693450740496, 0.5456493435393749]","[0.047081270407031806, 0.05008147623213949, 0.049414450902895035]","[0.08150246762507056, 0, 0.06951156670146286]",0.07469809024086597,"[52.44443452318633, 57.373290259229705, 61.81097970372024]","[562.5714063820034, 860.1677956455397, 723.7438318871027]","[68, 95, 82]","[1215, 2431, 1594]"
fc9f6916-da31-ab17-e040-11ac0c4808f3,0.12376572537051757,0.07217889260850084,0.0802221986577781,0.02427145610600688,0.01909313587920905,0.30191434607980006,0.04177018000887606,0.051401027870748184,0.01807932818748692,0.013038112384462341,0.30344506665035376,"[0.1335627065345962, 0.11098689457953985, 0.2322728038342171]","[0.029116553534130937, 0.025305919568033977, 0.056707434199558315]","[0.10107197008427875, 0.07235923229731295, 0.125171729201498]","[0.03213575799249369, 0.019384757404962313, 0.03823533711177333]","[0.8288432077875385, 0.8463297680608395, 0.744797569537528]","[0.027298429239697775, 0.023683506299002732, 0.054191691981765766]","[0.859970385416853, 0.879440569981401, 0.8379922032318574]","[0.030383032186749703, 0.018356925913218747, 0.0362054113291968]","[0.056651342141975605, 0, 0.04544730162937723]",0.05304567819519395,"[43.261400596494894, 79.31049531515743, 17.799066177481418]","[740.7158306308745, 1251.9274815552055, 350.1778603984042]","[68, 96, 26]","[1492, 1983, 708]"
fc9f6cb0-ceb9-790d-e040-11ac0c480ad1,0.14574823151914224,0.18643287071456882,0.2625169458932982,0.08459152560837413,0.06866645843174032,0.8823807979170749,0.026640811923126395,0.027797853457571797,0.008432083321298522,0.009268266435877859,0.8380396497924051,"[0.7580573902983807, 0.4172541354492877, 0.6928816025333245]","[0.035172209943967137, 0.047870614831659275, 0.039147224156733273]","[0.6687680233770499, 0.43361927055344507, 0.7120240835828301]","[0.06959927852928655, 0.09409498961575816, 0.061405334801589884]","[0.21129201540373238, 0.5197892004369485, 0.26803722878336733]","[0.030426542455508035, 0.04227864306938972, 0.034559226748641605]","[0.2910761690238013, 0.5042889533674287, 0.24810896586479353]","[0.05983954668098633, 0.08350440163431005, 0.05257113580207243]","[0.0832239152989212, 0, 0.10131273119489351]",0.08967994758303957,"[103.36879784081208, 60.33977320354155, 47.576140120826516]","[916.9155246257862, 573.6996676309517, 516.1585406754638]","[134, 79, 62]","[2146, 1485, 1191]"
fc8130e3-01ba-c740-e040-11ac0c483291,0.10264499913377784,0.18670608008144202,0.2189555134715836,0.05786070508733099,0.0614331124813442,0.7778546810438683,0.03920589790841178,0.040748239722650625,0.01518242394266911,0.014353423236462493,0.7551294702587211,"[0.6753825608055188, 0.3167756271542367, 0.6010558689490247]","[0.05083750936512044, 0.06044147035644548, 0.05757225470311039]","[0.5669266364226041, 0.31280209091738503, 0.5893548980265628]","[0.06654011746460636, 0.060643197817808664, 0.060679421394352395]","[0.30649485282170125, 0.6212862202957576, 0.35295238603844764]","[0.047287681542359294, 0.05429511915127294, 0.0501639141100409]","[0.3905390483280485, 0.6304687383084644, 0.3671135725879192]","[0.05908032348173581, 0.05440508232687391, 0.05307219961853016]","[0.053876613285271234, 0, 0.052530564933737096]",0.05287266511218492,"[37.53508934482716, 41.07047741171504, 91.56507863540719]","[550.6381902340968, 665.3772334087064, 1687.1231953922997]","[60, 67, 146]","[1255, 1362, 3683]"
fc63cbab-d27a-5ebb-e040-11ac0c48724f,0.33475982423556255,0.1005690437309748,0.12786707948580664,0.048284632737196354,0.041965973476772334,0.7933121737426018,0.030927363698633914,0.038187376036436294,0.011167307213581834,0.010919865654637873,0.7806897016702535,"[0.6768371702265732, 0.3320703113437115, 0.710849631845947]","[0.059070812659779814, 0.03271439305708346, 0.051189400164791454]","[0.5493559307155164, 0.28965774224520446, 0.5174421971154518]","[0.06350015853972299, 0.039543390043124904, 0.05790347233854659]","[0.28684046459030005, 0.6259449733379951, 0.25465219734623207]","[0.05281021461504633, 0.030315525102850904, 0.04504847478244718]","[0.40745579109272867, 0.6505248217606558, 0.4335825418117844]","[0.05706578303719209, 0.03595525220223822, 0.051957081713449066]","[0.044759775287273956, 0, 0.04461815105322322]",0.04471866294386467,"[58.04278959133278, 130.4128713033357, 28.631752666879823]","[917.3173216174287, 2048.528630141528, 378.5400959883745]","[71, 153, 35]","[1484, 3252, 607]"
fca6150f-d555-a29e-e040-11ac0d4873b2,-0.27291770966263296,0.6409579520695123,0.4049193592695226,0.611986204741412,0.15304563382934133,0.36733334927300815,0.022341235218472477,0.024347654164115717,0.008229599143613597,0.007161218929386481,0.3310758326959337,"[0.1832379107433013, 0.13033323150411708, 0.2703881793518056]","[0.01835260682332318, 0.015542824706369376, 0.024662278741872004]","[0.11489692870339326, 0.5101401478620748, 0.16621938541634537]","[0.13574122136847974, 0.4240929007419571, 0.17602260717298124]","[0.7596592371706512, 0.795889341198872, 0.6440577983425797]","[0.016951794963001088, 0.014003558155750162, 0.02170253872176403]","[0.8124726895046147, 0.4615356647609217, 0.7538329709488033]","[0.12612962655068888, 0.3819089787513525, 0.15642416661765562]","[1.56836828245737, 0, 1.0163155854874615]",1.3681023572799884,"[92.67185422415216, 178.37039139449283, 49.70374572548011]","[119.90991837114161, 94.16623709356107, 64.32237802815092]","[108, 213, 57]","[599, 1473, 341]"
a85cf239-ff51-46e7-9b88-4c2cb49c66b9,0.3957590125908969,0.15339247551844687,0.15282832393248164,0.04573871529224488,0.04926532460081662,0.8989806950733313,0.03638680467255406,0.03662466656510943,0.013103927333193321,0.01348240491949848,0.8367761658154376,"[0.7393676753975916, 0.4673237453936629, 0.704002946873804]","[0.05172664935787813, 0.07280024085037495, 0.05283311069042079]","[0.5910223744097162, 0.3306546225739929, 0.5958763052259989]","[0.04471510001020984, 0.045205850509984435, 0.04320663886310161]","[0.23010937182768396, 0.47474380660060844, 0.2623793331905663]","[0.043968037292685114, 0.06315068308450539, 0.04486525892300838]","[0.36017242415235473, 0.5908615403092413, 0.3572627914933826]","[0.038451028649561986, 0.03896304576081866, 0.037572617989529794]","[0.032403138913723296, 0, 0.04110796371309824]",0.03777586134704435,"[48.66773214893234, 66.03785255850575, 85.99901491456859]","[966.4056643345201, 1295.9596218563115, 1548.161296073331]","[66, 94, 115]","[1708, 2361, 2754]"
b752b444-f033-4be4-9d24-e5e80b4181af,0.41501424448860386,0.2581747488602342,0.1915743230782351,0.056668481694002515,0.06888385215943571,0.9332475489701987,0.022786009403312657,0.012488867565927708,0.0031436173792558364,0.00552476163463278,0.9111395998580233,"[0.8908039708605603, 0.39194116068705454, 0.8778757027691857]","[0.043338790159976326, 0.041112581128087494, 0.04386803823879504]","[0.7995550807309241, 0.3287552347325534, 0.7995293504890374]","[0.05073917133007366, 0.05461195524266138, 0.04625835592830685]","[0.10013121566993338, 0.5698762011184303, 0.10400146294930548]","[0.038479994322586863, 0.037198096011239024, 0.034473701118326594]","[0.17646209070999747, 0.6103925235488696, 0.1698108531424544]","[0.04355226407748096, 0.049629339815980666, 0.03797235489833432]","[0.059104990797284124, 0, 0.06608213416112718]",0.06286563169195684,"[90.46117701636973, 41.5425019598635, 109.13081957689515]","[879.377037991893, 497.3916224895002, 1023.5305061359794]","[111, 47, 133]","[1797, 791, 2101]"
71fda5a9-7049-406f-9348-2c24f7ddf5f4,0.5175273619014635,0.09372930717994399,0.09550007743196087,0.030352684649475492,0.03121732457867754,0.7702997403660339,0.039841812720747494,0.03783588269857019,0.011289547504626185,0.01281309636047323,0.7201972405111617,"[0.609844305295886, 0.3662019623734736, 0.5018332632133936]","[0.04817543938921354, 0.05453371584353173, 0.047909791057052925]","[0.2816429073193506, 0.2329781168265673, 0.29857233474386186]","[0.05848691413151591, 0.06937279939479599, 0.05723554993249068]","[0.3727683316037321, 0.5982962032172365, 0.47431935178285445]","[0.04549857697312751, 0.051225865090590794, 0.0452997514740924]","[0.6796211939652897, 0.7167896977103755, 0.6549724744091391]","[0.05537715914848579, 0.06448622538946924, 0.0531815042848206]","[0.049076916766316786, 0, 0.04116706838578585]",0.045663249138675734,"[86.40056352551623, 78.26978113541428, 42.546241290712]","[968.2085279132057, 866.8377241519163, 750.9730461290569]","[119, 106, 54]","[1678, 1851, 1274]"
6e839eaf-1dbb-43f5-8846-c980e05540c7,0.263616000825169,0.07835116025423794,0.05644146650031645,0.0213053531979564,0.022957973250687325,0.3442814522017584,0.029622608170366105,0.0365992453344961,0.011367385139248953,0.009551233385703572,0.27926417889638744,"[0.2192198357108587, 0.09652351381460955, 0.20585141297502915]","[0.029642665228819476, 0.021937751064079886, 0.03157683183979515]","[0.047759372537626764, 0.036198238253565836, 0.05392729440740292]","[0.037667675657029456, 0.027654449583609436, 0.035390827678104156]","[0.7029183969281823, 0.8149806700724546, 0.7007654010286521]","[0.027364747434457548, 0.0206712254408003, 0.027699130048275344]","[0.8798944758672246, 0.8869644792896999, 0.8553172726830199]","[0.035286446914645664, 0.025284856318371574, 0.0315662193837169]","[0.08887199623181324, 0, 0.06547425377684006]",0.06855456973574545,"[24.0441794541307, 63.65853793050731, 114.04209752626026]","[216.9090568647177, 748.981825541377, 1431.8372337978844]","[34, 82, 154]","[438, 1567, 2889]"
d8fbb398-d1da-4444-984a-22c8523625da,0.33893174623087347,0.1066832244314802,0.11354568688871935,0.03493944572194235,0.028539438023476638,0.9547265304720278,0.027808594955422872,0.02701922382692068,0.007742948715507181,0.009633053263446434,0.8830684554979874,"[0.7450395204223355, 0.5873307114673407, 0.7188522884889956]","[0.039059031798013955, 0.06659248733125722, 0.0345630669855953]","[0.6264650681049082, 0.4711353570041198, 0.6270886110964312]","[0.03761026750936558, 0.055430622525798334, 0.03515245365784242]","[0.20723263829882824, 0.3665629954168667, 0.24089398362051]","[0.031006087677495395, 0.058392961247408726, 0.029183774312182886]","[0.31411533794683577, 0.45975410885520646, 0.31706986527678516]","[0.031361529592690646, 0.04770367237079817, 0.029119992425477886]","[0.04702935399059383, 0, 0.04697406634100772]",0.046988642385234286,"[54.028152086839185, 78.80690870973969, 130.61892919306942]","[759.0185493430879, 1386.2958720028766, 2116.2059174450465]","[67, 113, 158]","[1266, 2607, 3536]"
7b08e810-f3c9-4155-ac11-f45a3a4f8b41,0.5778619045737576,0.08771794814057221,0.09824189982134024,0.028776516173936173,0.030666632487839296,0.7509107744116293,0.041127853513690416,0.04612728529128107,0.014383233076184276,0.0144762799237389,0.7023740766872697,"[0.7420225767021446, 0.30506310598884845, 0.5949970623297313]","[0.06987513054562966, 0.04184595357607501, 0.08145494149283611]","[0.259873913656744, 0.17012978272022342, 0.25069300237525755]","[0.07731641964696646, 0.05329008860934457, 0.06157508312471592]","[0.23855377996301555, 0.660291989365757, 0.37370055548606473]","[0.06403768657230219, 0.03950983953998999, 0.0741283845339124]","[0.7023444825647854, 0.7816368597806117, 0.6795046431678804]","[0.0727965415998621, 0.04954578271516347, 0.055004084519060636]","[0.03166498704741596, 0, 0.04499385520554661]",0.040086629140038,"[27.658866986823504, 93.41993257859436, 42.29885468344462]","[299.6835406827924, 1120.0420365973596, 523.0965670383513]","[37, 124, 59]","[606, 2238, 1040]"
418e916b-7a4e-4fab-8616-15dcec4d79f8,0.20964158934348476,0.12561220593560896,0.1338516470856551,0.046898394607977345,0.04681554099103313,0.8012802022206702,0.023598265628297033,0.0210084795111235,0.007731972740575577,0.007581208816849427,0.7597089334358378,"[0.6181053839574122, 0.507718711262801, 0.6466194418236267]","[0.03391692670805907, 0.2522588985142209, 0.029116747365196594]","[0.5465473754049539, 0.34330491572187727, 0.5726914571389196]","[0.05236201418295111, 0.1611161013867497, 0.049743080790406735]","[0.35613845326861027, 0.38769767974258756, 0.3283929742118176]","[0.031464627949325585, 0.2391431293335804, 0.026707722988597804]","[0.42424988278092957, 0.603210418079113, 0.39288001844175285]","[0.04882634761784141, 0.15353109168240528, 0.04529471153236875]","[0.08562875559923155, 0, 0.0941519452245609]",0.089606572158397,"[137.97771218905325, 13.858743901310014, 132.68532035103]","[1359.3974604463901, 144.80510676939554, 1183.973856687835]","[179, 20, 169]","[2771, 302, 2425]"
6c8e9197-fd16-4fed-bfda-e349cab26314,0.4155019444637829,0.10192170915396609,0.10163102674988223,0.042839717536381994,0.03872153124616279,0.8293561673197404,0.0239482832180421,0.029727822886790767,0.00937297795307912,0.007755809149051607,0.8202448695438158,"[0.6490511086437044, 0.43201535011365777, 0.6804761090118325]","[0.048518302001787916, 0.07650027575624646, 0.03890102691189634]","[0.5014298319916857, 0.26287048777387656, 0.501627646929799]","[0.06688195910020292, 0.07158020877286883, 0.06394134646615479]","[0.33716598119870267, 0.5377533635758838, 0.3026369373799822]","[0.04613379393808745, 0.06999781362273519, 0.03630808141926989]","[0.4611790485602525, 0.6945632166041393, 0.45981358990480414]","[0.061491794288311585, 0.06693098004996051, 0.05852290366725055]","[0.07686227035117066, 0, 0.06399219971951235]",0.0670118674036956,"[44.717373634434814, 35.831156051754704, 140.27194035554788]","[428.6510271091662, 419.4879785915403, 1454.311227815994]","[62, 51, 186]","[1076, 1004, 3510]"
207f8a42-5b05-4876-b0ae-ebfaeea27844,0.5992611528935473,0.3122737054769268,0.20290938098282424,0.035789940480088434,0.07442836813951803,0.9167758451917899,0.04845169512224645,0.03349179907000399,0.009807030429567543,0.013867888292765973,0.901480845950926,"[0.9261521768985722, 0.41320943414257827, 0.8207814917545204]","[0.0523885408361372, 0.07475675984801641, 0.10879873208780211]","[0.6897792143539183, 0.2900129240010597, 0.66099436927203]","[0.06830563078219765, 0.059995236010916345, 0.06756072654245471]","[0.06742936195752822, 0.5655502227520058, 0.17000762868665562]","[0.04761423153418218, 0.07062078709636391, 0.10179365714617031]","[0.2920635808900499, 0.6710678126569879, 0.3163855563138076]","[0.06408739683874247, 0.05627204996269114, 0.06261229461517018]","[0.01570525033679728, 0, 0.0352329214894513]",0.029205474587680108,"[31.858122195921005, 38.59603619025842, 67.76994531314831]","[474.04707182876564, 591.8772459201267, 1056.1916200990008]","[43, 51, 99]","[1151, 1117, 2578]"
110b5f05-ded7-45ec-b0f6-a941c92d77dd,0.6333292277564019,0.10089658728606687,0.08191721010587472,0.027203375978206545,0.031390828181110386,0.9647693068890455,0.030975971550674664,0.021379808333983896,0.008724080111408794,0.008874369238529134,0.9152168222295365,"[0.8510761064365658, 0.5094539530379799, 0.7315155024642255]","[0.03941412778611458, 0.04420790071398442, 0.0440264124943589]","[0.5278711555484867, 0.3495076484726917, 0.5198856298730256]","[0.06192413257483162, 0.04200444845173559, 0.0593127166180652]","[0.13438127455418072, 0.4297364757679809, 0.23621655554539933]","[0.032905234242039755, 0.037229188239239513, 0.0389761162858564]","[0.3869241333387523, 0.5605932875372919, 0.4105498200245476]","[0.049334379508463894, 0.03601546103419112, 0.05040263887475463]","[0.0258591536049141, 0, 0.04575999874792418]",0.03843556965017454,"[37.267129163696026, 91.00774398849423, 69.19543793162421]","[502.51372989595706, 1204.6955795381582, 873.7323296559687]","[49, 123, 88]","[1085, 2539, 1863]"
